min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error,coherence_rank,silhouette_rank,diversity_rank,coverage_rank,balance_rank,dbcv_rank,score_global
307,2,15,50,61432,21649,8,0.6475940877718452,0.3524059122281547,0.2489008760114337,-0.0895540818295992,0.5800481277254568,0.9875,375,738.0,8217,0.3795556376737956,123.99807630000214,ok,,0.7307692307692307,0.11538461538461539,0.8846153846153846,1.0,0.15384615384615385,0.2692307692307692,0.5307692307692307
307,1,20,50,61432,17918,13,0.7083279072795937,0.2916720927204063,0.387138874389868,-0.0393064313467578,0.5359731743765418,0.9846153846153848,331,932.0,5690,0.3175577631432079,124.22814899999868,ok,,0.2692307692307692,0.4230769230769231,0.8076923076923077,0.8076923076923077,0.6923076923076923,0.5384615384615384,0.5173076923076922
307,1,10,60,61432,18677,13,0.695972782914442,0.304027217085558,0.4019041658103702,-0.0927785965524332,0.5242096229400041,0.9769230769230768,322,872.0,5657,0.3028859024468597,122.40389660000072,ok,,0.19230769230769232,0.8461538461538461,0.5961538461538461,0.8846153846153846,0.7692307692307693,0.19230769230769232,0.5105769230769232
246,1,20,40,61432,17390,16,0.7169227764031775,0.2830772235968225,0.3696878649574436,-0.0387370331249486,0.5590488887909086,0.98125,285,693.5,6318,0.3633122484186314,108.8717882000019,ok,,0.5,0.19230769230769232,0.7307692307692307,0.7307692307692307,0.3076923076923077,0.5769230769230769,0.48846153846153845
307,2,10,40,61432,18124,11,0.7049746060684985,0.2950253939315015,0.3779112680037276,-0.0619073034642156,0.5445584243061842,0.990909090909091,313,823.0,7503,0.4139814610461267,89.48547659999895,ok,,0.34615384615384615,0.3076923076923077,0.9230769230769231,0.8461538461538461,0.11538461538461539,0.38461538461538464,0.4576923076923077
307,1,5,50,61432,16108,14,0.7377913790858185,0.2622086209141815,0.3576349573693851,-0.093224980069235,0.5532162393690809,0.9857142857142858,341,1008.0,3027,0.1879190464365532,100.241757900003,ok,,0.46153846153846156,0.15384615384615385,0.8461538461538461,0.38461538461538464,0.9230769230769231,0.15384615384615385,0.44999999999999996
307,1,10,40,61432,15779,15,0.7431468941268394,0.2568531058731605,0.3933104928128836,-0.0208011904781864,0.5076442892390314,0.96,347,638.0,3713,0.2353127574624501,95.79329349999898,ok,,0.1346153846153846,0.5961538461538461,0.21153846153846154,0.28846153846153844,0.8269230769230769,0.7884615384615384,0.42115384615384616
246,1,10,40,61432,15779,15,0.7431468941268394,0.2568531058731605,0.3933104928128836,-0.0208011904781864,0.5076442892390314,0.96,347,638.0,3713,0.2353127574624501,85.90191509999931,ok,,0.1346153846153846,0.5961538461538461,0.21153846153846154,0.28846153846153844,0.8269230769230769,0.7884615384615384,0.42115384615384616
307,1,5,40,61432,16673,16,0.7285942179971351,0.2714057820028649,0.3931902538099487,-0.112866718227017,0.5426909363192894,0.91875,311,809.0,2931,0.1757931985845378,88.36094410000078,ok,,0.3076923076923077,0.5384615384615384,0.07692307692307693,0.5769230769230769,0.9615384615384616,0.07692307692307693,0.37692307692307697
307,1,15,50,61432,18977,13,0.6910893345487694,0.3089106654512306,0.2433214948742551,-0.0637862352756472,0.5794473540931319,0.9307692307692308,332,549.0,9017,0.4751541339516256,126.92789970000013,ok,,0.6538461538461539,0.07692307692307693,0.11538461538461539,0.9230769230769231,0.038461538461538464,0.34615384615384615,0.3769230769230769
307,2,5,40,61432,15507,14,0.7475745539783826,0.2524254460216174,0.4136777100905494,-0.1045021048691014,0.4930846411127573,0.9571428571428572,326,866.5,2678,0.1726962017153543,87.45442099999855,ok,,0.038461538461538464,0.8846153846153846,0.15384615384615385,0.038461538461538464,1.0,0.11538461538461539,0.33269230769230773
246,1,5,40,61432,20084,15,0.6730694100794374,0.3269305899205625,0.203325912948778,-0.1722283256721785,0.5340035689572308,0.9066666666666666,303,457.0,9513,0.4736606253734315,305.9481460999996,ok,,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.9615384615384616,0.07692307692307693,0.038461538461538464,0.19230769230769232
