min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error
307,1,15,40,61432,14263,16,0.7678245865347051,0.2321754134652949,0.4599186496283727,-0.02593524613876252,0.5415358117315874,0.98125,324,609.0,2423,0.16988010937390452,100.66013259999818,ok,
307,1,15,50,61432,18977,13,0.6910893345487694,0.3089106654512306,0.24332149487425517,-0.06378623527564724,0.5794473540931319,0.9307692307692308,332,549.0,9017,0.47515413395162565,126.92789970000013,ok,
307,1,15,60,61432,14550,14,0.7631527542648783,0.23684724573512173,0.4287058788593354,-0.026928090761193835,0.5106614901344199,0.9642857142857143,393,869.5,2953,0.2029553264604811,126.95009879999998,ok,
307,1,20,40,61432,17172,14,0.7204714155488996,0.2795285844511004,0.37972609853251316,-0.0342323062657326,0.576687616714629,1.0,321,765.0,6318,0.36792452830188677,116.10019109999848,ok,
307,1,20,50,61432,17918,13,0.7083279072795937,0.2916720927204063,0.38713887438986805,-0.03930643134675785,0.5359731743765418,0.9846153846153847,331,932.0,5690,0.31755776314320794,124.22814899999867,ok,
307,1,20,60,61432,16062,14,0.7385401745018882,0.26145982549811175,0.42046179342540135,-0.009221522118745194,0.5482909800217478,0.9642857142857143,344,883.5,3342,0.2080687336570788,137.83806999999797,ok,
307,2,5,40,61432,15507,14,0.7475745539783826,0.25242544602161743,0.41367771009054943,-0.10450210486910141,0.49308464111275735,0.9571428571428572,326,866.5,2678,0.17269620171535435,87.45442099999855,ok,
307,2,5,50,61432,14053,13,0.7712430003906758,0.22875699960932416,0.37651886611498564,-0.062192400621141945,0.5538383654453967,0.9769230769230769,337,946.0,2862,0.20365758201095852,92.16844619999756,ok,
307,2,5,60,61432,14302,12,0.7671897382471676,0.23281026175283237,0.4415299352386577,-0.04410108998657615,0.5182451386338749,0.9833333333333333,332,1136.5,2864,0.20025171304712627,100.52435680000053,ok,
307,2,10,40,61432,18124,11,0.7049746060684985,0.2950253939315015,0.3779112680037276,-0.06190730346421567,0.5445584243061842,0.990909090909091,313,823.0,7503,0.4139814610461267,89.48547659999895,ok,
307,2,10,50,61432,14706,12,0.7606133611147284,0.23938663888527156,0.42682543500864406,-0.03183322832035795,0.599456154975963,1.0,333,744.5,5182,0.3523731810145519,97.68234859999939,ok,
307,2,10,60,61432,14086,14,0.7707058210704519,0.22929417892954806,0.4797142802173183,-0.04123457095754012,0.6150827768627688,0.9357142857142857,354,628.5,2931,0.20807894363197502,102.5012510000015,ok,
307,2,15,40,61432,12952,15,0.7891652558926944,0.21083474410730563,0.4729529052771098,-0.004069764695220156,0.5549150913523048,0.9933333333333333,331,661.0,2239,0.17286905497220506,94.41983940000136,ok,
307,2,15,50,61432,21649,8,0.6475940877718452,0.35240591222815476,0.2489008760114337,-0.08955408182959927,0.5800481277254568,0.9875,375,738.0,8217,0.3795556376737956,123.99807630000214,ok,
307,2,15,60,61432,12895,14,0.7900931110821722,0.20990688891782783,0.43827183479289505,-0.006419239365388665,0.5187061727202347,0.9642857142857143,335,735.0,2601,0.20170608763086467,118.31063849999919,ok,
307,2,20,40,61432,13783,13,0.7756381039197813,0.22436189608021873,0.45504276153090406,0.0041023440924592685,0.5466579556375953,0.9846153846153847,356,808.0,2402,0.1742726547195821,96.46722059999956,ok,
307,2,20,50,61432,15646,11,0.7453118895689543,0.25468811043104567,0.422728233721567,-0.033252987780814286,0.4986809360440722,1.0,384,1011.0,5186,0.3314585197494567,108.51115319999735,ok,
307,2,20,60,61432,14176,14,0.7692407865607501,0.23075921343924988,0.44059641366265645,0.003595962608200865,0.580383340149114,0.9785714285714285,314,789.0,2954,0.2083803611738149,117.43756329999815,ok,
