roman,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
La bete humaine.,0.0,0.05063965884861407,0.010127931769722815,0.07835820895522388,0.055970149253731345,0.04051172707889126,0.13486140724946696,0.059168443496801705,0.13326226012793177,0.11300639658848614,0.10287846481876332,0.02398720682302772,0.014392324093816631,0.0255863539445629,0.08635394456289978,0.019189765458422176,0.024520255863539446,0.027185501066098083
La conquete de Plassans.,0.0,0.032475490196078434,0.0055147058823529415,0.05514705882352941,0.012867647058823529,0.025735294117647058,0.10294117647058823,0.09620098039215687,0.026348039215686275,0.24877450980392157,0.014705882352941176,0.025122549019607844,0.042279411764705885,0.14522058823529413,0.011029411764705883,0.08517156862745098,0.061274509803921566,0.009191176470588236
La curee.,0.0,0.17485265225933203,0.0045841519318926,0.04846103470857891,0.011132940406024885,0.14276358873608383,0.06548788474132286,0.05893909626719057,0.04911591355599214,0.1741977734119188,0.02619515389652914,0.10740013097576949,0.005893909626719057,0.01899148657498363,0.0091683038637852,0.05108055009823183,0.025540275049115914,0.02619515389652914
La debacle.,0.0007109847138286527,0.06718805545680769,0.038037682189832916,0.027372911482403128,0.3892641308211873,0.03412726626377533,0.08354070387486669,0.059722715961606825,0.03412726626377533,0.061855670103092786,0.07109847138286526,0.011375755421258443,0.018130110202630643,0.024884464984002843,0.015997156061144685,0.022751510842516885,0.032705296836118024,0.007109847138286527
La faute de l abbe Mouret.,0.0,0.22563496751329,0.024808033077377438,0.11990549320732427,0.004134672179562906,0.00767867690490254,0.10868281157708211,0.06556408741878322,0.09923213230950975,0.04134672179562906,0.04725339633786178,0.0661547548730065,0.034258712344949795,0.05316007088009451,0.004134672179562906,0.03130537507383343,0.027170702894270527,0.039574719432959246
La fortune des Rougon.,0.0,0.08403361344537816,0.027611044417767107,0.04441776710684274,0.13025210084033614,0.09483793517406963,0.07322929171668667,0.08103241296518607,0.05102040816326531,0.05162064825930372,0.04981992797118848,0.04921968787515006,0.008403361344537815,0.033013205282112844,0.018607442977190875,0.04141656662665066,0.10744297719087635,0.05402160864345738
La joie de vivre.,0.0,0.03374777975133215,0.028419182948490232,0.08170515097690942,0.006512729425695678,0.06986382474837181,0.23623445825932504,0.10894020130254589,0.12847838957963292,0.13025458851391356,0.036708111308466546,0.02427471876850207,0.015985790408525755,0.012433392539964476,0.009473060982830076,0.03315571343990527,0.017169923031379514,0.02664298401420959
La terre.,0.0004078303425774878,0.051794453507340944,0.033442088091353996,0.04608482871125612,0.052202283849918436,0.08890701468189233,0.07830342577487764,0.2361337683523654,0.05138662316476346,0.08523654159869494,0.06525285481239804,0.02569331158238173,0.005709624796084829,0.028548123980424143,0.022838499184339316,0.0701468189233279,0.04812398042414356,0.009787928221859706
Le docteur Pascal.,0.0005931198102016608,0.0771055753262159,0.12811387900355872,0.10972716488730723,0.004744958481613286,0.04804270462633452,0.12455516014234876,0.03499406880189798,0.15005931198102015,0.10320284697508897,0.017793594306049824,0.0527876631079478,0.03202846975088968,0.018386714116251483,0.020166073546856466,0.023131672597864767,0.03084223013048636,0.02372479240806643
Le reve.,0.0,0.17564870259481039,0.04291417165668663,0.04590818363273453,0.00499001996007984,0.03093812375249501,0.10578842315369262,0.046906187624750496,0.18862275449101795,0.0658682634730539,0.03093812375249501,0.10379241516966067,0.05788423153692615,0.022954091816367265,0.010978043912175649,0.012974051896207584,0.01996007984031936,0.03293413173652695
