min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error,coherence_rank,silhouette_rank,diversity_rank,coverage_rank,balance_rank,dbcv_rank,score_global
120,10,10,50,5327,2024,4,0.6200488079594518,0.3799511920405481,0.389407771717634,-0.0195922823466115,0.3324284780272883,1.0,310,409.0,896,0.4426877470355731,9.396476999998413,ok,,0.038461538461538464,0.8461538461538461,0.9615384615384616,0.21153846153846154,0.19230769230769232,0.6153846153846154,0.4576923076923077
80,5,10,10,5327,2252,11,0.5772479819785996,0.4227520180214004,0.3733862496582949,-0.0235124379702572,0.4035838174452543,0.9727272727272728,86,208.0,540,0.2397868561278863,4.940682749998814,ok,,0.09615384615384616,0.7692307692307693,0.6346153846153846,0.4230769230769231,0.5,0.5769230769230769,0.4567307692307692
40,1,5,50,5327,2375,18,0.5541580626994556,0.4458419373005444,0.3501964824344045,-0.0736523149027694,0.4399954494628073,0.9277777777777778,40,106.5,329,0.1385263157894737,9.344551500002126,ok,,0.4807692307692308,0.5384615384615384,0.21153846153846154,0.5192307692307693,0.7115384615384616,0.3076923076923077,0.4528846153846154
80,1,5,10,5327,3227,15,0.3942181340341655,0.6057818659658345,0.3257874314987819,-0.202133613777922,0.4417454678154006,0.9333333333333332,85,143.0,590,0.1828323520297489,4.846197917002428,ok,,0.5,0.46153846153846156,0.2692307692307692,0.9423076923076923,0.6346153846153846,0.019230769230769232,0.44326923076923075
80,5,5,10,5327,2569,10,0.5177398160315374,0.4822601839684626,0.2873947790762639,-0.0192531040697554,0.4133988650962775,0.98,87,240.0,553,0.215258855585831,4.7106027500012715,ok,,0.15384615384615385,0.25,0.75,0.6923076923076923,0.5769230769230769,0.6346153846153846,0.4307692307692308
80,1,10,50,5327,2338,10,0.5611038107752957,0.4388961892247043,0.3745120903454921,-0.0676775976324777,0.4086740703273713,0.97,91,215.0,561,0.2399486740804106,9.48178000000189,ok,,0.1346153846153846,0.7884615384615384,0.5769230769230769,0.4807692307692308,0.4807692307692308,0.3269230769230769,0.4298076923076923
80,10,10,10,5327,2384,6,0.5524685564107378,0.4475314435892622,0.2893664525588701,0.0183213648770439,0.4165308879320484,0.9833333333333332,106,284.5,977,0.4098154362416107,4.9177242500009015,ok,,0.17307692307692307,0.2692307692307692,0.8365384615384616,0.5384615384615384,0.28846153846153844,0.75,0.42644230769230773
20,1,5,25,5327,2900,58,0.4556035291909142,0.5443964708090858,0.2359281459416393,-0.0628530074064447,0.4367240620032845,0.9172413793103448,20,30.5,285,0.0982758620689655,8.461555791000137,ok,,0.46153846153846156,0.057692307692307696,0.07692307692307693,0.9038461538461539,0.9615384615384616,0.38461538461538464,0.4057692307692308
20,5,5,50,5327,1871,22,0.6487704148676553,0.3512295851323447,0.3568140390792358,-0.0012494467076761,0.4246879541087708,0.9272727272727272,20,54.0,247,0.1320149652592196,9.591225041000143,ok,,0.19230769230769232,0.6730769230769231,0.19230769230769232,0.019230769230769232,0.7307692307692307,0.6923076923076923,0.4000000000000001
120,1,10,25,5327,2783,7,0.4775671109442463,0.5224328890557537,0.2737514200870429,-0.1277357487569791,0.4307039852388756,0.9857142857142858,161,249.0,1269,0.4559827524254402,7.2919892909994815,ok,,0.36538461538461536,0.17307692307692307,0.8653846153846154,0.8461538461538461,0.15384615384615385,0.11538461538461539,0.39134615384615384
80,10,10,50,5327,2004,5,0.6238032663788249,0.3761967336211751,0.3531187014116049,-0.0271939982335299,0.3569972178939282,0.98,108,340.0,896,0.4471057884231537,9.429719916999602,ok,,0.057692307692307696,0.6153846153846154,0.75,0.1346153846153846,0.17307692307692307,0.5384615384615384,0.3644230769230769
40,1,10,25,5327,2657,21,0.5012201989862962,0.4987798010137038,0.2780226078116221,-0.0782663805840833,0.4305230334356354,0.919047619047619,41,105.0,311,0.1170493037260067,7.36093045799862,ok,,0.34615384615384615,0.19230769230769232,0.11538461538461539,0.75,0.8846153846153846,0.2692307692307692,0.3634615384615385
