roman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
L oeuvre.,0.07975460122699386,0.09815950920245399,0.024539877300613498,0.03067484662576687,0.11042944785276074,0.03067484662576687,0.049079754601226995,0.012269938650306749,0.006134969325153374,0.07975460122699386,0.024539877300613498,0.06748466257668712,0.006134969325153374,0.05521472392638037,0.012269938650306749,0.08588957055214724,0.049079754601226995,0.024539877300613498,0.012269938650306749,0.0,0.018404907975460124,0.024539877300613498,0.018404907975460124,0.03680981595092025,0.012269938650306749,0.006134969325153374,0.0,0.018404907975460124,0.006134969325153374
La bete humaine.,0.05194805194805195,0.11688311688311688,0.01948051948051948,0.006493506493506494,0.05194805194805195,0.06493506493506493,0.01948051948051948,0.006493506493506494,0.032467532467532464,0.03896103896103896,0.0,0.06493506493506493,0.045454545454545456,0.025974025974025976,0.0,0.032467532467532464,0.032467532467532464,0.025974025974025976,0.045454545454545456,0.05844155844155844,0.07142857142857142,0.03896103896103896,0.01948051948051948,0.08441558441558442,0.006493506493506494,0.0,0.012987012987012988,0.025974025974025976,0.0
La conquete de Plassans.,0.11515151515151516,0.01818181818181818,0.006060606060606061,0.0,0.06666666666666667,0.0,0.08484848484848485,0.18787878787878787,0.01818181818181818,0.024242424242424242,0.03636363636363636,0.0,0.006060606060606061,0.006060606060606061,0.012121212121212121,0.04242424242424243,0.0,0.13333333333333333,0.04242424242424243,0.006060606060606061,0.024242424242424242,0.03636363636363636,0.0,0.06060606060606061,0.030303030303030304,0.0,0.024242424242424242,0.01818181818181818,0.0
La curee.,0.07317073170731707,0.0975609756097561,0.13008130081300814,0.008130081300813009,0.0975609756097561,0.016260162601626018,0.06504065040650407,0.016260162601626018,0.008130081300813009,0.024390243902439025,0.0,0.0,0.008130081300813009,0.0,0.056910569105691054,0.056910569105691054,0.04065040650406504,0.032520325203252036,0.08130081300813008,0.0,0.0,0.04065040650406504,0.0,0.024390243902439025,0.024390243902439025,0.0,0.04065040650406504,0.024390243902439025,0.032520325203252036
La debacle.,0.049773755656108594,0.049773755656108594,0.03167420814479638,0.00904977375565611,0.00904977375565611,0.01809954751131222,0.00904977375565611,0.03167420814479638,0.3438914027149321,0.07239819004524888,0.027149321266968326,0.049773755656108594,0.07239819004524888,0.03167420814479638,0.02262443438914027,0.013574660633484163,0.00904977375565611,0.004524886877828055,0.03167420814479638,0.0,0.03167420814479638,0.00904977375565611,0.004524886877828055,0.027149321266968326,0.027149321266968326,0.004524886877828055,0.0,0.00904977375565611,0.0
La faute de l abbe Mouret.,0.06432748538011696,0.12280701754385964,0.09941520467836257,0.0,0.017543859649122806,0.0935672514619883,0.029239766081871343,0.011695906432748537,0.0,0.03508771929824561,0.05263157894736842,0.03508771929824561,0.08187134502923976,0.023391812865497075,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.07602339181286549,0.0,0.005847953216374269,0.017543859649122806,0.04093567251461988,0.029239766081871343,0.011695906432748537,0.029239766081871343,0.023391812865497075,0.023391812865497075,0.005847953216374269
La fortune des Rougon.,0.09740259740259741,0.07792207792207792,0.07792207792207792,0.012987012987012988,0.01948051948051948,0.01948051948051948,0.045454545454545456,0.01948051948051948,0.09740259740259741,0.05194805194805195,0.012987012987012988,0.01948051948051948,0.045454545454545456,0.012987012987012988,0.11038961038961038,0.06493506493506493,0.032467532467532464,0.01948051948051948,0.012987012987012988,0.006493506493506494,0.01948051948051948,0.06493506493506493,0.0,0.012987012987012988,0.01948051948051948,0.012987012987012988,0.006493506493506494,0.006493506493506494,0.0
La joie de vivre.,0.2804878048780488,0.15853658536585366,0.0,0.018292682926829267,0.042682926829268296,0.036585365853658534,0.012195121951219513,0.018292682926829267,0.006097560975609756,0.042682926829268296,0.018292682926829267,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.006097560975609756,0.0,0.006097560975609756,0.042682926829268296,0.0,0.006097560975609756,0.04878048780487805,0.012195121951219513,0.03048780487804878,0.006097560975609756,0.012195121951219513,0.012195121951219513,0.036585365853658534,0.0
La terre.,0.0945945945945946,0.02252252252252252,0.013513513513513514,0.04504504504504504,0.018018018018018018,0.02252252252252252,0.03153153153153153,0.02252252252252252,0.013513513513513514,0.1891891891891892,0.009009009009009009,0.07657657657657657,0.07657657657657657,0.02702702702702703,0.04954954954954955,0.02702702702702703,0.02252252252252252,0.013513513513513514,0.04054054054054054,0.0045045045045045045,0.07207207207207207,0.018018018018018018,0.0045045045045045045,0.04504504504504504,0.013513513513513514,0.013513513513513514,0.0045045045045045045,0.009009009009009009,0.0
Le docteur Pascal.,0.08148148148148149,0.13333333333333333,0.05185185185185185,0.014814814814814815,0.05925925925925926,0.06666666666666667,0.05925925925925926,0.0,0.0,0.014814814814814815,0.037037037037037035,0.02962962962962963,0.007407407407407408,0.014814814814814815,0.044444444444444446,0.007407407407407408,0.007407407407407408,0.02962962962962963,0.022222222222222223,0.037037037037037035,0.0,0.07407407407407407,0.014814814814814815,0.08888888888888889,0.007407407407407408,0.02962962962962963,0.007407407407407408,0.05185185185185185,0.007407407407407408
