roman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
La curee.,0.11382113821138211,0.0975609756097561,0.11382113821138211,0.008130081300813009,0.016260162601626018,0.056910569105691054,0.10569105691056911,0.0,0.008130081300813009,0.04878048780487805,0.008130081300813009,0.024390243902439025,0.0,0.08943089430894309,0.008130081300813009,0.032520325203252036,0.008130081300813009,0.032520325203252036,0.016260162601626018,0.04065040650406504,0.0,0.008130081300813009,0.024390243902439025,0.0,0.016260162601626018,0.0,0.016260162601626018,0.024390243902439025,0.04065040650406504,0.024390243902439025,0.016260162601626018,0.0,0.0
La debacle.,0.049773755656108594,0.03619909502262444,0.027149321266968326,0.00904977375565611,0.027149321266968326,0.01809954751131222,0.02262443438914027,0.027149321266968326,0.058823529411764705,0.03167420814479638,0.3438914027149321,0.07692307692307693,0.03167420814479638,0.00904977375565611,0.049773755656108594,0.01809954751131222,0.004524886877828055,0.00904977375565611,0.00904977375565611,0.013574660633484163,0.0,0.00904977375565611,0.004524886877828055,0.00904977375565611,0.013574660633484163,0.058823529411764705,0.0,0.00904977375565611,0.0,0.0,0.004524886877828055,0.01809954751131222,0.0
La faute de l abbe Mouret.,0.16374269005847952,0.13450292397660818,0.09941520467836257,0.0,0.017543859649122806,0.023391812865497075,0.011695906432748537,0.06432748538011696,0.08187134502923976,0.023391812865497075,0.0,0.017543859649122806,0.017543859649122806,0.005847953216374269,0.011695906432748537,0.011695906432748537,0.029239766081871343,0.029239766081871343,0.029239766081871343,0.0,0.0,0.011695906432748537,0.005847953216374269,0.04678362573099415,0.017543859649122806,0.029239766081871343,0.023391812865497075,0.017543859649122806,0.023391812865497075,0.0,0.023391812865497075,0.017543859649122806,0.011695906432748537
La fortune des Rougon.,0.05194805194805195,0.05844155844155844,0.07792207792207792,0.025974025974025976,0.025974025974025976,0.032467532467532464,0.12987012987012986,0.012987012987012988,0.032467532467532464,0.03896103896103896,0.09740259740259741,0.03896103896103896,0.006493506493506494,0.01948051948051948,0.01948051948051948,0.1038961038961039,0.006493506493506494,0.01948051948051948,0.025974025974025976,0.025974025974025976,0.0,0.006493506493506494,0.012987012987012988,0.012987012987012988,0.032467532467532464,0.03896103896103896,0.006493506493506494,0.012987012987012988,0.0,0.0,0.025974025974025976,0.0,0.0
La joie de vivre.,0.11585365853658537,0.12195121951219512,0.018292682926829267,0.012195121951219513,0.006097560975609756,0.0,0.054878048780487805,0.018292682926829267,0.036585365853658534,0.04878048780487805,0.0,0.024390243902439025,0.024390243902439025,0.012195121951219513,0.012195121951219513,0.006097560975609756,0.07926829268292683,0.018292682926829267,0.018292682926829267,0.0,0.0,0.17682926829268292,0.0,0.018292682926829267,0.024390243902439025,0.09146341463414634,0.012195121951219513,0.036585365853658534,0.0,0.0,0.006097560975609756,0.006097560975609756,0.0
La terre.,0.07657657657657657,0.02252252252252252,0.013513513513513514,0.04954954954954955,0.02252252252252252,0.02702702702702703,0.05405405405405406,0.0045045045045045045,0.0990990990990991,0.04054054054054054,0.013513513513513514,0.18468468468468469,0.03153153153153153,0.02252252252252252,0.07207207207207207,0.02702702702702703,0.018018018018018018,0.009009009009009009,0.07207207207207207,0.02252252252252252,0.0045045045045045045,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.013513513513513514,0.02252252252252252,0.0045045045045045045,0.009009009009009009,0.0045045045045045045,0.0,0.013513513513513514,0.018018018018018018,0.0
Le docteur Pascal.,0.1259259259259259,0.15555555555555556,0.06666666666666667,0.014814814814814815,0.022222222222222223,0.037037037037037035,0.044444444444444446,0.05925925925925926,0.044444444444444446,0.037037037037037035,0.0,0.014814814814814815,0.007407407407407408,0.014814814814814815,0.014814814814814815,0.014814814814814815,0.0,0.02962962962962963,0.0,0.037037037037037035,0.037037037037037035,0.014814814814814815,0.007407407407407408,0.02962962962962963,0.05925925925925926,0.022222222222222223,0.014814814814814815,0.02962962962962963,0.014814814814814815,0.007407407407407408,0.022222222222222223,0.0,0.0
Le reve.,0.04878048780487805,0.2926829268292683,0.08536585365853659,0.012195121951219513,0.0,0.0,0.024390243902439025,0.04878048780487805,0.04878048780487805,0.012195121951219513,0.0,0.012195121951219513,0.0,0.036585365853658534,0.024390243902439025,0.0,0.024390243902439025,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.08536585365853659,0.036585365853658534,0.012195121951219513,0.036585365853658534,0.024390243902439025,0.036585365853658534,0.0,0.012195121951219513,0.06097560975609756,0.012195121951219513
Le ventre de Paris.,0.051470588235294115,0.022058823529411766,0.03676470588235294,0.014705882352941176,0.014705882352941176,0.03676470588235294,0.051470588235294115,0.0,0.029411764705882353,0.0661764705882353,0.007352941176470588,0.03676470588235294,0.125,0.03676470588235294,0.022058823529411766,0.051470588235294115,0.051470588235294115,0.029411764705882353,0.058823529411764705,0.022058823529411766,0.014705882352941176,0.014705882352941176,0.07352941176470588,0.0,0.014705882352941176,0.03676470588235294,0.022058823529411766,0.014705882352941176,0.03676470588235294,0.0,0.007352941176470588,0.0,0.0
Lourdes.,0.010101010101010102,0.10101010101010101,0.050505050505050504,0.06565656565656566,0.030303030303030304,0.0,0.005050505050505051,0.08080808080808081,0.030303030303030304,0.04040404040404041,0.015151515151515152,0.010101010101010102,0.020202020202020204,0.025252525252525252,0.045454545454545456,0.025252525252525252,0.015151515151515152,0.05555555555555555,0.050505050505050504,0.015151515151515152,0.03535353535353535,0.030303030303030304,0.045454545454545456,0.08080808080808081,0.010101010101010102,0.03535353535353535,0.005050505050505051,0.030303030303030304,0.005050505050505051,0.0,0.015151515151515152,0.010101010101010102,0.005050505050505051
